@relation 'TrainingData_g2_4-weka.filters.unsupervised.attribute.Remove-V-R6-7,18,20'

@attribute audio_livingroom {off,on}
@attribute current_fan_livingroom {off,standby,on}
@attribute camera_bedroom {off,on}
@attribute class {OtherActivity,g2_4}

@data
off,standby,off,OtherActivity
off,standby,off,OtherActivity
on,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
on,standby,off,OtherActivity
on,standby,off,OtherActivity
on,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
on,standby,off,OtherActivity
off,standby,off,OtherActivity
on,standby,off,OtherActivity
off,standby,off,OtherActivity
on,standby,off,OtherActivity
off,standby,off,OtherActivity
on,standby,off,OtherActivity
off,standby,off,OtherActivity
on,standby,off,OtherActivity
off,standby,off,OtherActivity
on,standby,off,OtherActivity
on,standby,off,OtherActivity
off,standby,off,OtherActivity
on,standby,off,OtherActivity
on,standby,off,OtherActivity
on,standby,off,OtherActivity
on,standby,off,OtherActivity
off,standby,off,OtherActivity
on,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
on,standby,off,OtherActivity
on,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
on,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
on,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
