@relation 'TrainingData_g10-4-weka.filters.unsupervised.attribute.Remove-V-R16,30,38,53'

@attribute audio_bathroom {off,little,loud}
@attribute current_exhaustFan_bathroom {off,standby,on}
@attribute camera_livingroom {off,on}
@attribute class {OtherActivity,g10-4}

@data
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,off,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
off,off,on,OtherActivity
