@relation 'TrainingData_g3_4-weka.filters.unsupervised.attribute.Remove-V-R1,3,11,14-15,20'

@attribute light_livingroom {off,on}
@attribute light_bedroom {off,on}
@attribute current_lamp_livingroom {off,standby,on}
@attribute current_AC_bedroom {off,standby,on}
@attribute current_AC_livingroom {off,standby,on}
@attribute class {OtherActivity,g3_4}

@data
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
on,on,off,standby,standby,OtherActivity
on,on,off,standby,standby,OtherActivity
on,on,off,standby,standby,OtherActivity
on,on,off,standby,standby,OtherActivity
on,on,off,standby,standby,OtherActivity
on,on,off,standby,standby,OtherActivity
on,on,off,standby,standby,OtherActivity
on,on,off,standby,standby,OtherActivity
on,on,off,standby,standby,OtherActivity
on,on,off,standby,standby,OtherActivity
on,on,off,standby,standby,OtherActivity
on,on,off,standby,standby,OtherActivity
on,on,off,standby,standby,OtherActivity
on,on,off,standby,standby,OtherActivity
on,on,off,standby,standby,OtherActivity
on,on,off,standby,standby,OtherActivity
off,on,off,standby,standby,OtherActivity
off,on,off,standby,standby,OtherActivity
off,on,off,standby,standby,OtherActivity
off,on,off,standby,standby,OtherActivity
off,on,off,standby,standby,OtherActivity
off,on,off,standby,standby,OtherActivity
off,on,off,standby,standby,OtherActivity
off,on,off,standby,standby,OtherActivity
off,on,off,standby,standby,OtherActivity
off,on,off,standby,standby,OtherActivity
off,on,off,standby,standby,OtherActivity
off,on,off,standby,standby,OtherActivity
off,on,off,standby,standby,OtherActivity
off,on,off,standby,standby,OtherActivity
off,on,off,standby,standby,OtherActivity
off,on,off,standby,standby,OtherActivity
off,on,off,standby,standby,OtherActivity
off,on,off,standby,standby,OtherActivity
off,on,off,standby,standby,OtherActivity
off,on,off,standby,standby,OtherActivity
off,on,off,standby,standby,OtherActivity
off,on,off,standby,standby,OtherActivity
off,on,off,standby,standby,OtherActivity
off,on,off,standby,standby,OtherActivity
off,on,off,standby,standby,OtherActivity
off,on,off,standby,standby,OtherActivity
off,on,off,standby,standby,OtherActivity
off,on,off,standby,standby,OtherActivity
off,on,off,standby,standby,OtherActivity
off,on,off,standby,standby,OtherActivity
off,on,off,standby,standby,OtherActivity
off,on,off,standby,standby,OtherActivity
off,on,off,standby,standby,OtherActivity
off,on,off,standby,standby,OtherActivity
off,on,off,standby,standby,OtherActivity
off,on,off,standby,standby,OtherActivity
off,on,off,standby,standby,OtherActivity
off,on,off,standby,standby,OtherActivity
off,on,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
on,off,off,standby,standby,OtherActivity
on,off,off,standby,standby,OtherActivity
on,off,off,standby,standby,OtherActivity
on,off,off,standby,standby,OtherActivity
on,off,off,standby,standby,OtherActivity
on,off,off,standby,standby,OtherActivity
on,off,off,standby,standby,OtherActivity
on,off,off,standby,standby,OtherActivity
on,off,off,standby,standby,OtherActivity
on,off,off,standby,standby,OtherActivity
on,off,off,standby,standby,OtherActivity
on,off,off,standby,standby,OtherActivity
on,off,off,standby,standby,OtherActivity
on,off,off,standby,standby,OtherActivity
on,off,off,standby,standby,OtherActivity
on,off,off,standby,standby,OtherActivity
on,off,off,standby,standby,OtherActivity
on,off,off,standby,standby,OtherActivity
on,off,off,standby,standby,OtherActivity
on,off,off,standby,standby,OtherActivity
on,off,off,standby,standby,OtherActivity
on,off,off,standby,standby,OtherActivity
on,off,off,standby,standby,OtherActivity
on,off,off,standby,standby,OtherActivity
on,off,off,standby,standby,OtherActivity
on,off,off,standby,standby,OtherActivity
on,off,off,standby,standby,OtherActivity
on,off,off,standby,standby,OtherActivity
on,on,off,standby,standby,OtherActivity
on,off,off,standby,standby,OtherActivity
on,off,off,standby,standby,OtherActivity
on,off,off,standby,standby,OtherActivity
on,off,off,standby,standby,OtherActivity
on,off,off,standby,standby,OtherActivity
on,off,off,standby,standby,OtherActivity
on,off,off,standby,standby,OtherActivity
on,on,off,standby,standby,OtherActivity
on,off,off,standby,standby,OtherActivity
on,off,off,standby,standby,OtherActivity
on,off,off,standby,standby,OtherActivity
on,off,off,standby,standby,OtherActivity
on,off,off,standby,standby,OtherActivity
on,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
on,off,off,standby,standby,OtherActivity
on,off,off,standby,standby,OtherActivity
on,off,off,standby,standby,OtherActivity
on,off,off,standby,standby,OtherActivity
on,off,off,standby,standby,OtherActivity
on,off,off,standby,standby,OtherActivity
on,off,off,standby,standby,OtherActivity
on,off,off,standby,standby,OtherActivity
on,off,off,standby,standby,OtherActivity
on,off,off,standby,standby,OtherActivity
on,off,off,standby,standby,OtherActivity
on,off,off,standby,standby,OtherActivity
on,off,off,standby,standby,OtherActivity
on,off,off,standby,standby,OtherActivity
on,off,off,standby,standby,OtherActivity
on,off,off,standby,standby,OtherActivity
on,off,off,standby,standby,OtherActivity
on,off,off,standby,standby,OtherActivity
on,off,off,standby,standby,OtherActivity
on,off,off,standby,standby,OtherActivity
on,off,off,standby,standby,OtherActivity
on,off,off,standby,standby,OtherActivity
on,off,off,standby,standby,OtherActivity
on,off,off,standby,standby,OtherActivity
on,off,off,standby,standby,OtherActivity
on,off,off,standby,standby,OtherActivity
on,off,off,off,standby,OtherActivity
on,off,off,off,standby,OtherActivity
on,off,off,off,standby,OtherActivity
on,off,off,off,standby,OtherActivity
on,off,off,off,standby,OtherActivity
on,off,off,off,standby,OtherActivity
on,off,off,off,standby,OtherActivity
on,off,off,off,standby,OtherActivity
on,off,off,off,standby,OtherActivity
on,off,off,off,standby,OtherActivity
on,off,off,off,standby,OtherActivity
on,off,off,off,standby,OtherActivity
on,off,off,off,standby,OtherActivity
on,off,off,off,standby,OtherActivity
on,off,off,off,standby,OtherActivity
on,off,off,off,standby,OtherActivity
on,on,on,standby,standby,g3_4
on,on,on,standby,standby,g3_4
on,on,on,standby,standby,g3_4
on,on,on,standby,standby,g3_4
on,on,on,standby,standby,g3_4
on,on,on,standby,standby,g3_4
on,on,on,standby,standby,g3_4
on,on,on,off,standby,g3_4
on,on,on,off,standby,g3_4
on,on,on,off,standby,g3_4
on,on,on,off,standby,g3_4
on,on,on,off,standby,g3_4
on,on,on,off,standby,g3_4
on,on,on,off,standby,g3_4
on,on,on,off,standby,g3_4
on,on,on,off,standby,g3_4
on,on,on,off,standby,g3_4
on,on,on,off,standby,g3_4
on,on,on,off,standby,g3_4
on,on,on,off,standby,g3_4
on,on,on,off,standby,g3_4
on,on,on,off,standby,g3_4
on,on,on,off,standby,g3_4
on,off,on,off,standby,g3_4
on,off,on,standby,standby,g3_4
on,off,on,standby,standby,g3_4
on,off,on,standby,standby,g3_4
on,off,on,standby,standby,g3_4
on,off,on,standby,standby,g3_4
on,off,on,standby,standby,g3_4
on,off,on,standby,standby,g3_4
on,off,on,standby,standby,g3_4
on,off,on,standby,standby,g3_4
on,off,on,standby,standby,g3_4
on,off,on,standby,standby,g3_4
on,off,off,standby,standby,OtherActivity
on,off,off,standby,standby,OtherActivity
on,off,off,standby,standby,OtherActivity
on,off,off,standby,standby,OtherActivity
on,off,off,standby,standby,OtherActivity
on,off,off,standby,standby,OtherActivity
on,off,off,standby,standby,OtherActivity
on,off,off,standby,standby,OtherActivity
on,off,off,standby,standby,OtherActivity
on,off,off,standby,standby,OtherActivity
on,off,off,standby,standby,OtherActivity
on,off,off,standby,standby,OtherActivity
on,off,off,standby,standby,OtherActivity
on,off,off,standby,standby,OtherActivity
on,off,off,standby,standby,OtherActivity
on,off,off,standby,standby,OtherActivity
on,off,off,standby,standby,OtherActivity
on,off,off,standby,standby,OtherActivity
on,off,off,standby,standby,OtherActivity
on,off,off,standby,standby,OtherActivity
on,off,off,standby,standby,OtherActivity
on,off,off,standby,standby,OtherActivity
on,off,off,standby,standby,OtherActivity
on,off,off,standby,standby,OtherActivity
on,off,off,standby,standby,OtherActivity
on,off,off,standby,standby,OtherActivity
on,off,off,standby,standby,OtherActivity
on,off,off,standby,standby,OtherActivity
on,off,off,standby,standby,OtherActivity
on,off,off,standby,standby,OtherActivity
on,off,off,standby,standby,OtherActivity
on,off,off,standby,standby,OtherActivity
on,off,off,standby,standby,OtherActivity
on,off,off,standby,standby,OtherActivity
on,off,off,standby,standby,OtherActivity
on,off,off,standby,standby,OtherActivity
on,off,off,standby,standby,OtherActivity
on,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
off,off,off,standby,standby,OtherActivity
