@relation 'TrainingData_g1_10-weka.filters.unsupervised.attribute.Remove-V-R2-3,7-8,20'

@attribute light_hallway {off,on}
@attribute light_bedroom {off,on}
@attribute current_fan_livingroom {off,standby,on}
@attribute current_lamp_bedroom {off,standby,on}
@attribute class {OtherActivity,g1_10}

@data
on,off,standby,off,OtherActivity
on,off,standby,off,OtherActivity
on,off,standby,off,OtherActivity
on,off,standby,off,OtherActivity
on,on,standby,off,OtherActivity
on,off,standby,off,OtherActivity
on,off,standby,off,OtherActivity
on,off,standby,off,OtherActivity
on,off,standby,off,OtherActivity
on,off,standby,off,OtherActivity
on,off,standby,off,OtherActivity
off,off,standby,off,OtherActivity
off,off,standby,off,OtherActivity
off,off,standby,off,OtherActivity
off,off,standby,off,OtherActivity
off,off,standby,off,OtherActivity
off,off,standby,off,OtherActivity
off,off,standby,off,OtherActivity
off,off,standby,off,OtherActivity
off,off,standby,off,OtherActivity
off,off,standby,off,OtherActivity
off,off,standby,off,OtherActivity
off,off,standby,off,OtherActivity
off,off,standby,off,OtherActivity
off,off,standby,off,OtherActivity
off,off,standby,off,OtherActivity
off,off,standby,off,OtherActivity
off,off,standby,off,OtherActivity
off,off,standby,off,OtherActivity
off,off,standby,off,OtherActivity
off,off,standby,off,OtherActivity
off,off,standby,off,OtherActivity
off,off,standby,off,OtherActivity
off,off,standby,off,OtherActivity
off,off,standby,off,OtherActivity
off,off,standby,off,OtherActivity
off,off,standby,off,OtherActivity
off,off,standby,off,OtherActivity
off,off,standby,off,OtherActivity
off,off,standby,off,OtherActivity
on,off,standby,off,OtherActivity
on,off,standby,off,OtherActivity
on,off,standby,off,OtherActivity
on,off,standby,off,OtherActivity
on,off,standby,off,OtherActivity
on,off,standby,off,OtherActivity
on,off,standby,off,OtherActivity
on,off,standby,off,OtherActivity
off,off,standby,off,OtherActivity
on,off,standby,off,OtherActivity
on,off,standby,off,OtherActivity
on,off,standby,off,OtherActivity
on,off,standby,off,OtherActivity
on,off,standby,off,OtherActivity
on,off,standby,off,OtherActivity
on,off,standby,off,OtherActivity
on,off,standby,off,OtherActivity
on,off,on,off,OtherActivity
on,off,on,off,OtherActivity
on,off,on,off,OtherActivity
on,off,on,off,OtherActivity
on,off,on,off,OtherActivity
on,off,on,off,OtherActivity
on,off,on,off,OtherActivity
on,off,on,off,OtherActivity
on,off,on,off,OtherActivity
on,off,on,off,OtherActivity
on,off,on,off,OtherActivity
on,off,on,off,OtherActivity
on,off,on,off,OtherActivity
on,off,on,off,OtherActivity
on,off,on,off,OtherActivity
on,off,on,off,OtherActivity
on,off,on,off,OtherActivity
on,off,on,off,OtherActivity
on,off,on,off,OtherActivity
on,off,on,off,OtherActivity
on,off,on,off,OtherActivity
on,off,on,off,OtherActivity
on,off,on,off,OtherActivity
on,off,on,off,OtherActivity
on,off,on,off,OtherActivity
on,off,on,off,OtherActivity
on,off,standby,on,OtherActivity
on,off,standby,on,OtherActivity
on,off,standby,on,OtherActivity
on,off,standby,on,OtherActivity
on,off,standby,on,OtherActivity
on,off,standby,on,OtherActivity
on,off,standby,on,OtherActivity
on,off,standby,on,OtherActivity
on,off,standby,on,OtherActivity
on,off,standby,on,OtherActivity
on,off,standby,on,OtherActivity
on,off,standby,on,OtherActivity
on,off,standby,on,OtherActivity
on,off,standby,on,OtherActivity
on,off,standby,on,OtherActivity
on,off,standby,on,OtherActivity
off,on,standby,off,OtherActivity
off,on,standby,off,OtherActivity
off,on,standby,off,OtherActivity
off,on,standby,off,OtherActivity
on,on,standby,off,OtherActivity
off,on,standby,off,OtherActivity
off,on,standby,off,OtherActivity
on,on,standby,off,OtherActivity
on,on,standby,off,OtherActivity
on,on,standby,off,OtherActivity
on,on,standby,off,OtherActivity
on,on,standby,off,OtherActivity
on,on,standby,off,OtherActivity
on,on,standby,off,OtherActivity
on,on,standby,off,OtherActivity
on,on,standby,off,OtherActivity
on,on,standby,off,OtherActivity
on,on,standby,off,OtherActivity
on,on,standby,off,OtherActivity
on,on,standby,off,OtherActivity
on,on,standby,off,OtherActivity
on,on,standby,off,OtherActivity
on,on,standby,off,OtherActivity
on,off,standby,off,OtherActivity
on,off,standby,off,OtherActivity
on,off,standby,off,OtherActivity
on,off,standby,off,OtherActivity
on,off,standby,off,OtherActivity
on,off,standby,off,OtherActivity
on,off,standby,off,OtherActivity
on,off,standby,off,OtherActivity
on,off,standby,off,OtherActivity
on,off,standby,off,OtherActivity
on,off,standby,off,OtherActivity
on,off,standby,off,OtherActivity
on,off,standby,off,OtherActivity
on,off,standby,off,OtherActivity
on,off,standby,off,OtherActivity
on,off,standby,off,OtherActivity
on,off,standby,off,OtherActivity
on,off,standby,off,OtherActivity
on,off,standby,off,OtherActivity
on,off,standby,off,OtherActivity
on,off,standby,off,OtherActivity
on,off,standby,off,OtherActivity
on,off,standby,off,OtherActivity
on,off,standby,off,OtherActivity
on,off,standby,off,OtherActivity
on,off,standby,off,OtherActivity
on,off,standby,off,OtherActivity
on,off,standby,off,OtherActivity
on,off,standby,off,OtherActivity
on,off,standby,off,OtherActivity
on,off,standby,off,OtherActivity
on,off,standby,off,OtherActivity
on,off,standby,off,OtherActivity
on,off,standby,off,OtherActivity
on,off,standby,off,OtherActivity
on,off,standby,off,OtherActivity
on,off,standby,off,OtherActivity
on,off,standby,off,OtherActivity
on,off,standby,off,OtherActivity
on,off,standby,off,OtherActivity
on,off,standby,off,OtherActivity
on,off,standby,off,OtherActivity
on,off,standby,off,OtherActivity
on,off,standby,off,OtherActivity
on,off,standby,off,OtherActivity
on,off,standby,off,OtherActivity
on,off,standby,off,OtherActivity
on,off,standby,off,OtherActivity
on,off,standby,off,OtherActivity
on,off,standby,off,OtherActivity
off,off,standby,on,g1_10
off,off,standby,on,g1_10
off,off,standby,on,g1_10
off,off,standby,on,g1_10
off,off,standby,on,g1_10
off,off,standby,on,g1_10
off,off,standby,on,g1_10
off,off,standby,on,g1_10
off,off,standby,on,g1_10
off,off,standby,on,g1_10
off,off,standby,on,g1_10
off,off,standby,on,g1_10
off,off,standby,on,g1_10
off,off,standby,on,g1_10
off,off,standby,on,g1_10
off,off,standby,on,g1_10
off,off,standby,on,g1_10
off,off,standby,on,g1_10
off,off,standby,on,g1_10
off,off,standby,on,g1_10
off,off,standby,on,g1_10
off,off,standby,on,g1_10
off,off,standby,on,g1_10
off,off,standby,on,g1_10
off,off,standby,on,g1_10
off,off,standby,on,g1_10
off,off,standby,on,g1_10
off,off,standby,on,g1_10
off,off,standby,on,g1_10
off,off,standby,on,g1_10
off,off,standby,on,g1_10
off,off,standby,on,g1_10
off,off,standby,on,g1_10
off,off,standby,on,g1_10
off,off,standby,on,g1_10
off,off,standby,on,g1_10
off,off,standby,on,g1_10
off,off,standby,on,g1_10
off,off,standby,on,g1_10
off,off,standby,on,g1_10
off,off,standby,on,g1_10
off,off,standby,on,g1_10
off,off,standby,on,g1_10
off,off,standby,on,g1_10
off,off,standby,on,g1_10
off,off,standby,on,g1_10
off,off,standby,on,g1_10
off,off,standby,on,g1_10
off,off,standby,on,g1_10
off,off,standby,on,g1_10
off,off,standby,on,g1_10
off,off,standby,on,g1_10
off,off,standby,on,g1_10
off,off,standby,on,g1_10
off,off,standby,on,g1_10
off,off,standby,on,g1_10
off,off,standby,on,g1_10
off,off,standby,on,g1_10
off,off,standby,on,g1_10
off,off,standby,on,g1_10
off,off,standby,on,g1_10
off,off,standby,on,g1_10
off,off,standby,on,g1_10
off,off,standby,on,g1_10
off,off,standby,on,g1_10
off,off,standby,on,g1_10
off,off,standby,on,g1_10
off,off,standby,on,g1_10
off,off,standby,on,g1_10
off,off,standby,on,g1_10
off,off,standby,on,g1_10
off,off,standby,on,g1_10
off,off,standby,on,g1_10
off,off,standby,on,g1_10
off,off,standby,on,g1_10
off,off,standby,on,g1_10
off,off,standby,on,g1_10
off,off,standby,on,g1_10
off,off,standby,on,g1_10
off,off,standby,on,g1_10
off,off,standby,on,g1_10
off,off,standby,on,g1_10
off,off,standby,on,g1_10
off,off,standby,on,g1_10
off,off,standby,on,g1_10
off,off,standby,on,g1_10
off,off,standby,on,g1_10
off,off,standby,on,g1_10
off,off,standby,on,g1_10
off,off,standby,on,g1_10
off,off,standby,on,g1_10
off,off,standby,on,g1_10
off,off,standby,on,g1_10
off,off,standby,on,g1_10
off,off,standby,on,g1_10
off,off,standby,on,g1_10
off,off,standby,on,g1_10
off,off,standby,on,g1_10
off,off,standby,on,g1_10
off,off,standby,on,g1_10
off,off,standby,on,g1_10
off,off,standby,on,g1_10
