@relation 'TrainingData_g3_2-weka.filters.unsupervised.attribute.Remove-V-R3,10,17,20'

@attribute light_bedroom {off,on}
@attribute current_TV_livingroom {off,standby,on}
@attribute camera_livingroom {off,on}
@attribute class {OtherActivity,g3_2}

@data
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
on,on,on,g3_2
on,on,on,g3_2
on,on,on,g3_2
on,on,on,g3_2
on,on,on,g3_2
on,on,on,g3_2
on,on,on,g3_2
on,on,on,g3_2
on,on,on,g3_2
on,on,on,g3_2
on,on,on,g3_2
on,on,on,g3_2
on,on,on,g3_2
on,on,on,g3_2
on,on,on,g3_2
on,on,on,g3_2
on,on,on,g3_2
on,on,on,g3_2
on,on,on,g3_2
on,on,on,g3_2
on,on,on,g3_2
on,on,on,g3_2
on,on,on,g3_2
on,on,on,g3_2
on,on,on,g3_2
on,on,on,g3_2
on,on,on,g3_2
on,on,on,g3_2
on,on,on,g3_2
on,on,on,g3_2
on,on,on,g3_2
on,on,on,g3_2
on,on,on,g3_2
on,on,on,g3_2
on,on,on,g3_2
on,on,on,g3_2
on,on,on,g3_2
on,on,on,g3_2
on,on,on,g3_2
on,on,on,g3_2
on,on,on,g3_2
on,on,on,g3_2
on,standby,on,OtherActivity
on,standby,on,OtherActivity
on,standby,on,OtherActivity
on,standby,on,OtherActivity
on,standby,on,OtherActivity
on,standby,on,OtherActivity
on,standby,on,OtherActivity
on,standby,on,OtherActivity
on,standby,on,OtherActivity
on,standby,on,OtherActivity
on,standby,on,OtherActivity
on,standby,on,OtherActivity
on,standby,on,OtherActivity
on,standby,on,OtherActivity
on,standby,on,OtherActivity
on,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,standby,on,OtherActivity
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,on,on,g3_2
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
